"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"UK","normal",6,0,60,"none/unknown","2018-02-01 00:13:06.432",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-01 00:13:06.57",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 00:42:53.941",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 00:42:54.08",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-01 01:12:54.094",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 01:12:54.23",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 01:42:53.645",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 01:42:53.785",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 02:13:06.509",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 02:13:06.647",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 02:42:54.022",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 02:42:54.165",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 03:12:55.728",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 03:12:55.865",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 03:42:54.912",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 03:42:55.092",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 04:13:08.17",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 04:13:08.306",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 04:42:54.69",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 04:42:54.829",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 05:12:55.479",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 05:12:55.618",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-01 05:42:55.414",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-01 05:42:55.556",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 06:13:08.321",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-01 06:13:08.474",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 06:42:55.186",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 06:42:55.325",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 07:12:57.618",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-01 07:12:57.778",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-01 07:42:11.09",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 07:42:11.233",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-01 07:42:54.222",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 07:42:54.359",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-01 08:13:11.897",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 08:13:12.119",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 08:42:58.715",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-01 08:42:58.852",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 09:12:56.837",51.0963,1.13505,"stable"
"F","delayed",7,30,60,"none/unknown","2018-02-01 09:12:56.974",50.9239,1.81604,"increasing"
"UK","normal",7,0,60,"none/unknown","2018-02-01 09:42:57.702",51.0963,1.13505,"stable"
"F","delayed",6,30,60,"none/unknown","2018-02-01 09:42:57.841",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 10:12:56.052",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 10:12:56.189",50.9239,1.81604,"decreasing"
"UK","normal",5,0,60,"none/unknown","2018-02-01 10:42:55.527",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-01 10:42:55.669",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 11:12:55.562",51.0963,1.13505,"stable"
"F","normal",7,0,60,"none/unknown","2018-02-01 11:12:55.701",50.9239,1.81604,"stable"
"UK","normal",7,0,60,"none/unknown","2018-02-01 11:42:56.756",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 11:42:56.896",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 12:12:56.265",51.0963,1.13505,"stable"
