"delay","latitude","longitude","occurrencetimestamp","direction","location","title"
0,49.7998,22.944,"20180430060000+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
0,49.7996,22.951,"20180430060000+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
180,52.1219,23.5707,"20180430055900+0200","inbound","Koroszczyn","Waiting time in Koroszczyn (inbound)$$Wartezeit in Koroszczyn (Einreise)"
0,49.4818,22.6956,"20180430055900+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,49.4813,22.701,"20180430055900+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,52.1103,23.5609,"20180430055900+0200","outbound"," Koroszczyn","No waiting time in Koroszczyn (outbound)$$Keine Wartezeit in Koroszczyn (Ausreise)"
0,49.7998,22.944,"20180430053500+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
0,49.7996,22.951,"20180430053500+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
120,50.2768,23.5876,"20180430052700+0200","outbound","Hrebenne","Waiting time in Hrebenne (outbound)$$Wartezeit in Hrebenne (Ausreise)"
240,50.2722,23.5913,"20180430052700+0200","inbound","Hrebenne","Waiting time in Hrebenne (inbound)$$Wartezeit in Hrebenne (Einreise)"
0,52.4709,23.3576,"20180430051200+0200","outbound"," Polowce","No waiting time in Polowce (outbound)$$Keine Wartezeit in Polowce (Ausreise)"
0,52.4696,23.3583,"20180430051200+0200","inbound"," Polowce","No waiting time in Polowce (inbound)$$Keine Wartezeit in Polowce (Einreise)"
60,53.5197,23.6555,"20180430045600+0200","outbound","Kuznica","Waiting time in Kuznica (outbound)$$Wartezeit in Kuznica (Ausreise)"
120,53.5217,23.6599,"20180430045600+0200","inbound","Kuznica","Waiting time in Kuznica (inbound)$$Wartezeit in Kuznica (Einreise)"
0,49.4813,22.701,"20180430045300+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
